wals_code,iso_code,glottocode,name,lat,lon,genus,family,subfamily
tnl,taa,lowe1425,Tanana (Lower),65.0,-150.0,Athapaskan,Na-Dene,__
tnn,baz,tune1241,Tunen,4.75,10.6666666667,Bantoid,Niger-Congo,Benue-Congo
tno,tdn,tond1251,Tondano,1.25,125.0,Minahasan,Austronesian,__
tns,nwi,sout2869,Tanna (Southwest),-19.5666666667,169.333333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
tnt,tnt,tont1239,Tontemboan,1.08333333333,124.5,Minahasan,Austronesian,__
tny,kza,west2466,Tenyer,10.6666666667,-4.5,Gur,Niger-Congo,__
toa,tqo,toar1246,Toaripi,-8.33333333333,146.25,Eleman Proper,Eleman,__
tob,tob,toba1269,Toba,-26.5,-59.0,Guaicuruan,Guaicuruan,__
tod,sbu,stod1241,Tod,32.4166666667,77.25,Bodic,Sino-Tibetan,Tibeto-Burman
tof,kim,kara1462,Tofa,53.75,98.0,Turkic,Altaic,__
toj,toj,tojo1241,Tojolabal,16.3333333333,-91.5,Mayan,Mayan,__
tok,yer,taro1263,Tarok,9.0,10.0833333333,Platoid,Niger-Congo,Benue-Congo
tol,jic,toll1241,Tol,14.6666666667,-87.0,Tol,Tol,__
ton,tqw,tonk1249,Tonkawa,30.25,-96.75,Tonkawa,Tonkawa,__
toq,mlu,toab1237,Toqabaqita,-8.41666666667,160.583333333,Oceanic,Austronesian,Eastern Malayo-Polynesian
tor,rth,rata1244,Toratán,1.08333333333,124.833333333,Sangiric,Austronesian,__
tos,tos,high1243,Totonac (Sierra),19.9166666667,-97.4166666667,Totonacan,Totonacan,__
tot,tlc,yecu1235,Totonac (Misantla),19.9166666667,-96.9166666667,Totonacan,Totonacan,__
tou,tsp,tusi1238,Toussian,11.0,-4.66666666667,Gur,Niger-Congo,__
tow,wib,sout2797,Toussian (Win),10.8333333333,-4.66666666667,Gur,Niger-Congo,__
toy,_47,,Tasmanian (Oyster Bay to Pitwater),-42.5,147.75,Tasmanian,Tasmanian,__
toz,toi,tong1318,Tonga (in Zambia),-17.0,27.0,Bantoid,Niger-Congo,Benue-Congo
tpa,top,papa1238,Totonac (Papantla),20.3333333333,-97.3333333333,Totonacan,Totonacan,__
tpc,tep,tepe1278,Tepecano,21.75,-104.75,Tepiman,Uto-Aztecan,__
tpi,tpi,tokp1240,Tok Pisin,-9.5,147.166666667,Creoles and Pidgins,other,__
tpn,ntp,nort2959,Tepehuan (Northern),26.3333333333,-107.0,Tepiman,Uto-Aztecan,__
tpr,tui,tupu1244,Tupuri,10.1666666667,14.75,Adamawa,Niger-Congo,Adamawa-Ubangi
tps,stp,sout2976,Tepehuan (Southeastern),23.0,-104.5,Tepiman,Uto-Aztecan,__
tpt,tpj,tapi1253,Tapieté,-19.75,-61.6666666667,Tupi-Guaraní,Tupian,__
trb,tfr,teri1250,Teribe,9.33333333333,-82.6666666667,Talamanca,Chibchan,__
trc,trs,chic1273,Trique (Chicahuaxtla),17.1666666667,-97.8333333333,Mixtecan,Oto-Manguean,__
trd,sda,tora1261,Toraja,-3.0,119.75,South Sulawesi,Austronesian,__
trg,tew,tewa1260,Tewa (Rio Grande),36.25,-106.166666667,Kiowa-Tanoan,Kiowa-Tanoan,__
tri,trc,copa1237,Trique (Copala),17.1666666667,-97.9166666667,Mixtecan,Oto-Manguean,__
trm,suq,suri1267,Tirmaga,5.75,35.25,Surmic,Nilo-Saharan,Eastern Sudanic
trn,ter,tere1279,Terêna,-20.0,-56.0,Bolivia-Parana,Arawakan,__
