"lab.name","lab.genus","lab.family","lab.subfamily","lab.lat","lab.lon","lab.iso"
"Miwok (Northern Sierra)","Miwok","Penutian","Utian","38.3333333333","-120.666666667","'nsq'"
"Temne","Southern Atlantic","Niger-Congo","Atlantic","8.66666666667","-13.0833333333","'tem'"
"Tindi","Avar-Andic-Tsezic","Nakh-Daghestanian","Daghestanian","42.3666666667","46.25","'tin'"
"Tongan","Oceanic","Austronesian","Eastern Malayo-Polynesian","-21.1666666667","-175.166666667","'ton'"
"Turkana","Nilotic","Nilo-Saharan","Eastern Sudanic","3","35.5","'tuv'"
"Tanacross","Athapaskan","Na-Dene","__","63.5","-143.5","'tcb'"
"Tunebo","Chibchan Proper","Chibchan","__","6.75","-72.25","'tnd'"
"Tanana (Lower)","Athapaskan","Na-Dene","__","65","-150","'taa'"
"Tondano","Sulawesi","Austronesian","__","1.25","125","'tdn'"
"Tunen","Bantoid","Niger-Congo","Benue-Congo","4.75","10.6666666667","'baz'"
"Tinani","Bodic","Sino-Tibetan","Tibeto-Burman","32.3333333333","77.1666666667","'lbf'"
"Yupik (Siberian)","Eskimo","Eskimo-Aleut","__","65","-173","'ess'"
"Tungak","Oceanic","Austronesian","Eastern Malayo-Polynesian","-2.55","150.25","'lcm'"
"Efate (South)","Oceanic","Austronesian","Eastern Malayo-Polynesian","-17.75","168.416666667","'erk'"
"Yag Dii","Adamawa","Niger-Congo","Adamawa-Ubangi","8","14","'dur'"
"Yaghnobi","Iranian","Indo-European","__","39","69","'yai'"
"Yagaria","Eastern Highlands","Trans-New Guinea","__","-6.33333333333","145.416666667","'ygr'"
"Czech","Slavic","Indo-European","__","50","15","'ces'"
"Enga","Engan","Trans-New Guinea","__","-5.5","143.666666667","'enq'"
"Enets","Samoyedic","Uralic","__","67.5","86.5","'enf'"
"English","Germanic","Indo-European","__","52","0","'eng'"
"Holoholo","Bantoid","Niger-Congo","Benue-Congo","-5.16666666667","29.9166666667","'hoo'"
"Hokkien","Chinese","Sino-Tibetan","__","25","118","'nan'"
"Enggano","Sumatra","Austronesian","__","-5.41666666667","102.25","'eno'"
"Hopi","Hopi","Uto-Aztecan","__","36","-110","'hop'"
"Mpongwe","Bantoid","Niger-Congo","Benue-Congo","-1.25","9.5","'mye'"
"Enya","Bantoid","Niger-Congo","Benue-Congo","-0.5","25.25","'gey'"
"Riantana","Kolopom","Kolopom","__","-7.5","138.5","'ran'"
"Lalo","Burmese-Lolo","Sino-Tibetan","Tibeto-Burman","25","100.25","'ywt'"
"Lam","Masa","Afro-Asiatic","Chadic","9","14.5","'lme'"
"Lango","Nilotic","Nilo-Saharan","Eastern Sudanic","2.16666666667","33","'laj'"
"Lao","Kam-Tai","Tai-Kadai","__","18","103","'lao'"
"Lahu","Burmese-Lolo","Sino-Tibetan","Tibeto-Burman","20","98.1666666667","'lhu'"
